,rf,sl_f,wl_f,nl_f,socl_f,pl_f,kl_f
rf,1.0,0.9428735812678325,0.8714910441862483,0.9245338246443183,0.9428735812678326,0.9428735812678319,0.9428735812678325
sl_f,0.9428735812678325,1.0,0.8381407930915172,0.9791867582716757,1.0000000000000004,1.0000000000000009,1.0000000000000009
wl_f,0.8714910441862483,0.8381407930915172,1.0,0.8797692466637116,0.8381407930915185,0.8381407930915175,0.8381407930915167
nl_f,0.9245338246443183,0.9791867582716757,0.8797692466637116,1.0,0.9791867582716749,0.9791867582716753,0.9791867582716746
socl_f,0.9428735812678326,1.0000000000000004,0.8381407930915185,0.9791867582716749,1.0,1.0,0.9999999999999993
pl_f,0.9428735812678319,1.0000000000000009,0.8381407930915175,0.9791867582716753,1.0,1.0,1.0000000000000002
kl_f,0.9428735812678325,1.0000000000000009,0.8381407930915167,0.9791867582716746,0.9999999999999993,1.0000000000000002,1.0
